"Title 
(Denotes new test case)","Type 
(Automated, Compatibility, Functional, Other, Performance, Functional)","Priority 
(Critical, High, Medium, Low)","Estimate
(1-59M in Min
1H + in Hours)",References (Link user stories or bugs),"Status
(Draft, Ready for Review, Final)","Owner
(FirstName LastName)","Objective
(Describe the Overall Objective this case is designed to achieve)","Preconditions
(List prerequisite conditions for this test case)",Steps (One step per row),Number,"Expected Result (Per step, Expected for whole test case list on last step)"
/api/application/WorkOrderCancel,Functional,Critical,15M,None,Final,Megh Thapa,"Validation of application during search endpoint displays, write and update Correct data",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/WorkOrderCancel,1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section and provide workorderID= 30754257",,Api-Key and JSON properties is accepted 
 ,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Matches with WorkorderStatus table and UI 
/api/application/WorkOrderCancel/InnovationsAccount/30713626(VW),Functional,Critical,15M,None,Final,Megh Thapa,"Validation of application during search endpoint displays, write and update Correct data",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/WorkOrderCancel/InnovationsAccount/{WorkOrderId},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section and provide workorderID= 30713626",,Api-Key and JSON properties is accepted 
 ,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Return store number should be 661 (Verify WorkOrderCancel table)
/api/application/WorkOrderCancel/InnovationsAccount/12034207(EV),Functional,Critical,15M,None,Final,Megh Thapa,"Validation of application during search endpoint displays, write and update Correct data",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/WorkOrderCancel/InnovationsAccount/{WorkOrderId},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section and provide workorderID= 12034207",,Api-Key and JSON properties is accepted 
 ,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Return store number should be 1254 (Verify WorkOrderCancel table)
/api/application/WorkOrderCancel/WorkOrderLab/5883058(DV),Functional,Critical,15M,None,Final,Megh Thapa,"Validation of application during search endpoint displays, write and update Correct data",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/WorkOrderCancel/InnovationsAccount/{WorkOrderId},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section and provide workorderID= 5883058",,Api-Key and JSON properties is accepted 
 ,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Return store number should be 44722 (Verify WorkOrderCancel table)
/api/application/WorkOrderCancel/WorkOrderLab/22202717(ECOM),Functional,Critical,15M,None,Final,Megh Thapa,"Validation of application during search endpoint displays, write and update Correct data",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/WorkOrderCancel/InnovationsAccount/{WorkOrderId},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section and provide workorderID= 22202717",,Api-Key and JSON properties is accepted 
 ,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,, store number should be 1006 (Verify WorkOrderCancel table)
/api/application/WorkOrderCancel/WorkOrderLab/{WorkOrderId},Functional,Critical,15M,None,Final,Megh Thapa,"Validation of application during search endpoint displays, write and update Correct data",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/WorkOrderCancel/WorkOrderLab/{WorkOrderId},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section and provide workorderID= 11301136",,Api-Key and JSON properties is accepted 
 ,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,Return ManufacturingFacilityDC = 890  (Verify [WorkOrderManufacturing and  ManufacturingFacility table)
/api/application/WorkOrderCancel/WorkorderInnovationsTray/{WorkOrderId},Functional,Critical,15M,None,Final,Megh Thapa,"Validation of application during search endpoint displays, write and update Correct data",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/WorkOrderCancel/WorkOrderLab/{WorkOrderId},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section and provide workorderID= 27216239",,Api-Key and JSON properties is accepted 
 ,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,"Should return OSHTrayNumber = ""197810 ""  (Verify OSFItemInfo and workorderkeyxref table)"
/api/application/WorkOrderCancel/WorkorderInnovationsTray/{WorkOrderId},Functional,Critical,15M,None,Final,Megh Thapa,"Validation of application during search endpoint displays, write and update Correct data",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/WorkOrderCancel/WorkorderInnovationsTray/{WorkOrderId},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section and provide workorderID= 25356688",,Api-Key and JSON properties is accepted 
 ,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,"Should return OSHTrayNumber = ""523657 ""  (Verify OSFItemInfo and workorderkeyxref table)"
/api/application/WorkOrderCancel/WorkorderInnovationsTray/{WorkOrderId},Functional,Critical,15M,None,Final,Megh Thapa,"Validation of application during search endpoint displays, write and update Correct data",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/WorkOrderCancel/WorkorderInnovationsTray/{WorkOrderId},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section and provide workorderID= 27763497",,Api-Key and JSON properties is accepted 
 ,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,"Should return OSHTrayNumber = ""276978 ""  (Verify OSFItemInfo and workorderkeyxref table)"
/api/application/WorkOrderCancel/InnovationsTrayByWorkOrderID/{WorkOrderId},Functional,Critical,15M,None,Final,Megh Thapa,"Validation of application during search endpoint displays, write and update Correct data",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/WorkOrderCancel/InnovationsTrayByWorkOrderID/{WorkOrderId},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section and provide workorderID= 30759089",,Api-Key and JSON properties is accepted 
 ,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data,,"Should return OSHInnovRXNumber = ""04099D71216217 "" (Verify OSFItemInfo and workorderkeyxref table)"
